No,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
64,4,24.97445,121.54765,55
65,0,24.96305,121.54915,25.3
66,8,24.97635,121.54329,44.3
67,6,24.96571,121.54089,50.7
68,5,24.96674,121.54067,56.8
69,6,24.97964,121.53805,36.2
70,5,24.98746,121.54391,42
71,9,24.97433,121.5431,59
72,3,24.97563,121.53715,40.8
73,8,24.97587,121.53913,36.3
74,0,24.94155,121.50381,20
75,10,24.98343,121.53762,54.4
76,1,24.95204,121.54842,29.5
77,3,24.97723,121.53767,36.8
78,3,24.96322,121.51237,25.6
79,2,24.97598,121.53381,29.8
80,1,24.95182,121.54887,26.5
81,4,24.97445,121.54765,40.3
82,6,24.96427,121.53964,36.8
83,7,24.96725,121.54252,48.1
84,3,24.96056,121.50831,17.7
85,7,24.96735,121.54464,43.7
86,9,24.96853,121.54413,50.8
87,1,24.9512,121.549,27
88,0,24.94297,121.50342,18.3
89,0,24.98573,121.52758,48
90,0,24.94783,121.50243,25.3
91,1,24.9748,121.53059,45.4
92,0,24.98569,121.5276,43.2
93,4,24.96108,121.51046,21.8
94,0,24.9492,121.53076,16.1
95,5,24.9663,121.54026,41
96,5,24.96674,121.54067,51.8
97,9,24.97433,121.5431,59.5
98,3,24.97746,121.53299,34.6
99,5,24.98203,121.54348,51
100,9,24.97433,121.5431,62.2
101,4,24.98872,121.53411,38.2
102,1,24.97371,121.52984,32.9
103,6,24.96571,121.54089,54.4
104,6,24.95618,121.53844,45.7
105,6,24.96398,121.5425,30.5
106,6,24.97744,121.54458,71
107,8,24.97707,121.54308,47.1
108,1,24.95204,121.54842,26.6
109,2,24.9726,121.53561,34.1
110,3,24.96299,121.51284,28.4
111,5,24.96674,121.54067,51.6
112,7,24.97701,121.54224,39.4
113,3,24.96044,121.51462,23.1
114,6,24.96172,121.53812,7.6
115,8,24.98155,121.54142,53.3
116,2,24.98092,121.54739,46.4
117,1,24.94375,121.47883,12.2
118,0,24.93885,121.50383,13
119,3,24.96622,121.51709,30.6
120,5,24.98203,121.54348,59.6
121,5,24.96515,121.53737,31.3
122,5,24.96515,121.53737,48
123,4,24.98199,121.54464,32.5
124,0,24.9711,121.5317,45.5
125,7,24.97528,121.54541,57.4
126,6,24.96571,121.54089,48.6
127,4,24.97838,121.53477,62.9
128,5,24.98085,121.54391,55
129,6,24.96674,121.54039,60.7
130,7,24.98086,121.54162,41
131,8,24.98092,121.53653,37.5
132,3,24.96299,121.51284,30.7
133,5,24.97433,121.53863,37.5
134,8,24.9866,121.54082,39.5
135,6,24.96604,121.54211,42.2
136,0,24.96357,121.54951,20.8
137,5,24.97937,121.54245,46.8
138,6,24.96495,121.54277,47.4
139,0,24.97843,121.52406,43.5
140,5,24.96515,121.53737,42.5
141,5,24.98203,121.54348,51.4
142,3,24.97213,121.51627,28.9
143,5,24.97017,121.54647,37.5
144,5,24.96515,121.53737,40.1
145,1,24.95204,121.54842,28.4
146,5,24.97563,121.54694,45.5
147,0,24.9711,121.5317,52.2
148,8,24.97017,121.54494,43.2
149,0,24.93293,121.51203,45.1
150,8,24.97349,121.54245,39.7
151,7,24.96719,121.54269,48.5
152,9,24.98118,121.53788,44.7
153,1,24.95204,121.54842,28.9
154,6,24.95418,121.53713,40.9
155,0,24.94297,121.50342,20.7
156,0,24.94155,121.50381,15.6
157,0,24.94883,121.52954,18.3
158,4,24.97886,121.53464,35.6
159,5,24.97937,121.54245,39.4
160,4,24.97886,121.53464,37.4
161,8,24.95836,121.53756,57.8
162,3,24.97723,121.53767,39.6
163,0,24.94297,121.50342,11.6
164,5,24.96674,121.54067,55.5
165,0,24.9711,121.5317,55.2
166,1,24.97694,121.55391,30.6
167,6,24.97744,121.54458,73.6
168,8,24.97408,121.54011,43.4
169,5,24.96299,121.5432,37.4
170,1,24.95468,121.55481,23.5
171,0,24.94741,121.49628,14.4
172,5,24.98085,121.54391,58.8
173,9,24.97433,121.5431,58.1
174,4,24.98326,121.5446,35.1
175,7,24.9805,121.53778,45.2
176,3,24.97005,121.53758,36.5
177,0,24.94867,121.49507,19.2
178,9,24.97697,121.54262,42
179,4,24.99176,121.53456,36.7
180,1,24.97493,121.5273,42.6
181,0,24.94898,121.49621,15.5
182,8,24.98489,121.54121,55.9
183,3,24.96299,121.51284,23.6
184,0,24.94155,121.50381,18.8
185,0,24.95495,121.56174,21.8
186,3,24.97285,121.5173,21.5
187,3,24.96322,121.51237,25.7
188,0,24.95464,121.56627,22
189,8,24.97707,121.54312,44.3
190,0,24.94297,121.50342,20.5
191,8,24.97945,121.53642,42.3
192,2,24.97371,121.54951,37.8
193,7,24.9675,121.54069,42.7
194,5,24.98246,121.54477,49.3
195,0,24.93363,121.51158,29.3
196,5,24.95425,121.5399,34.6
197,2,24.981,121.54713,36.6
198,8,24.96881,121.54089,48.2
199,7,24.96628,121.54196,39.1
200,8,24.96945,121.5449,31.6
201,0,24.96305,121.54915,25.5
202,5,24.98746,121.54391,45.9
203,3,24.97559,121.53713,31.5
204,5,24.98203,121.54348,46.1
205,1,24.95182,121.54887,26.6
206,3,24.97289,121.51728,21.4
207,10,24.98343,121.53762,44
208,3,24.97503,121.53692,34.2
209,1,24.95204,121.54842,26.2
210,8,24.97347,121.54271,40.9
211,5,24.97937,121.54245,52.2
212,1,24.9748,121.53059,43.5
213,2,24.98672,121.52091,31.1
214,9,24.97433,121.5431,58
215,3,24.96731,121.51486,20.9
216,8,24.972,121.54477,48.1
217,1,24.97153,121.53559,39.7
218,6,24.97838,121.54119,40.8
219,5,24.96515,121.53737,43.8
220,8,24.98102,121.53655,40.2
221,9,24.97703,121.54265,78.3
222,0,24.98569,121.5276,38.5
223,10,24.98123,121.53743,48.5
224,0,24.98569,121.5276,42.3
225,6,24.97814,121.5417,46
226,6,24.96571,121.54089,49
227,0,24.94155,121.50381,12.8
228,8,24.98059,121.53986,40.2
229,0,25.00115,121.51776,46.6
230,0,24.9489,121.53095,19
231,3,24.96299,121.51284,33.4
232,0,24.94235,121.50357,14.7
233,1,24.95032,121.49587,17.4
234,9,24.98016,121.53932,32.4
235,4,24.96007,121.51361,23.9
236,7,24.96606,121.54297,39.3
237,10,24.98322,121.53765,61.9
238,0,24.97668,121.52518,39
239,0,24.97668,121.52518,40.6
240,0,24.96334,121.54767,29.7
241,2,24.96412,121.5167,28.8
242,7,24.96606,121.54297,41.4
243,3,24.96357,121.51329,33.4
244,8,24.98236,121.53923,48.2
245,3,24.97213,121.51627,21.7
246,5,24.97258,121.54814,40.8
247,6,24.96412,121.54273,40.6
248,0,24.96211,121.54928,23.1
249,0,24.96357,121.54951,22.3
250,1,24.95743,121.47516,15
251,7,24.97429,121.53917,30
252,0,24.9496,121.53018,13.8
253,9,24.97433,121.5431,52.7
254,2,24.96464,121.51623,25.9
255,5,24.98254,121.54395,51.8
256,1,24.95095,121.48458,17.4
257,1,24.97519,121.53151,26.5
258,1,24.97501,121.5273,43.9
259,6,24.97744,121.54458,63.3
260,0,24.96334,121.54767,28.8
261,4,24.97073,121.517,30.7
262,3,24.95885,121.51359,24.4
263,5,24.98203,121.54348,53
264,3,24.96299,121.51284,31.7
265,7,24.96968,121.54522,40.6
266,4,24.97886,121.53464,38.1
267,3,24.96731,121.51486,23.7
268,5,24.97433,121.53863,41.1
269,5,24.97937,121.54245,40.1
270,0,24.96334,121.54767,23
271,1,24.9746,121.53046,117.5
272,8,24.96945,121.5449,26.5
273,5,24.96515,121.53737,40.5
274,1,24.97371,121.52984,29.3
275,7,24.97305,121.53994,41
276,7,24.96772,121.54102,49.7
277,5,24.95425,121.5399,34
278,3,24.96322,121.51237,27.7
279,6,24.95618,121.53844,44
280,3,24.97026,121.51642,31.1
281,6,24.96581,121.54086,45.4
282,9,24.98118,121.53788,44.8
283,1,24.9512,121.549,25.6
284,2,24.98674,121.51844,23.5
285,7,24.96735,121.54464,34.4
286,3,24.97509,121.53644,55.3
287,9,24.97433,121.5431,56.3
288,5,24.95425,121.5399,32.9
289,6,24.97841,121.5428,51
290,5,24.98203,121.54348,44.5
291,0,24.97217,121.53471,37
292,7,24.95744,121.53711,54.4
293,5,24.95674,121.534,24.5
294,7,24.96735,121.54464,42.5
295,6,24.9796,121.5414,38.1
296,3,24.96299,121.51252,21.8
297,4,24.99176,121.53456,34.1
298,4,24.97003,121.5458,28.5
299,0,24.94155,121.50381,16.7
300,10,24.98178,121.54059,46.1
301,4,24.96696,121.53992,36.9
302,0,24.97229,121.53445,35.7
303,3,24.95885,121.51359,23.2
304,0,24.97161,121.53423,38.4
305,3,24.96622,121.51668,29.4
306,5,24.98203,121.54348,55
307,1,24.97369,121.52979,50.2
308,0,24.9546,121.56627,24.7
309,5,24.98203,121.54348,53
310,0,24.94883,121.52954,19.1
311,2,24.95394,121.55174,24.7
312,4,24.97425,121.53814,42.2
313,9,24.97071,121.54069,78
314,5,24.96674,121.54067,42.8
315,6,24.97201,121.54722,41.6
316,2,24.9832,121.51812,27.3
317,7,24.96606,121.54297,42
318,2,24.97795,121.53451,37.5
319,10,24.98343,121.53762,49.8
320,5,24.95562,121.53872,26.9
321,0,24.93885,121.50383,18.6
322,4,24.98872,121.53411,37.7
323,1,24.97388,121.52981,33.1
324,6,24.97631,121.54436,42.5
325,2,24.96412,121.5167,31.3
326,8,24.97015,121.54494,38.1
327,7,24.95744,121.53711,62.1
328,3,24.97538,121.54971,36.7
329,3,24.97003,121.51696,23.6
330,0,24.93885,121.50383,19.2
331,0,24.94935,121.53046,12.8
332,0,24.94826,121.49587,15.6
333,2,24.97577,121.53475,39.6
334,5,24.96674,121.54067,38.4
335,5,24.99006,121.5346,22.8
336,6,24.96431,121.54063,36.5
337,2,24.98407,121.51748,35.6
338,5,24.96871,121.54651,30.9
339,9,24.96867,121.54331,36.3
340,5,24.98254,121.54395,50.4
341,0,24.97281,121.53265,42.9
342,2,24.97371,121.54951,37
343,9,24.97433,121.5431,53.5
344,8,24.98223,121.53597,46.6
345,0,24.998,121.5155,41.2
346,0,24.9711,121.5317,37.9
347,2,24.96412,121.5167,30.8
348,1,24.95719,121.47353,11.2
349,6,24.97585,121.54516,53.7
350,5,24.96674,121.54067,47
351,5,24.96515,121.53737,42.3
352,3,24.96324,121.51241,28.6
353,3,24.96143,121.50827,25.7
354,3,24.96299,121.51284,31.3
355,1,24.95204,121.54842,30.1
356,5,24.98085,121.54391,60.7
357,1,24.97417,121.52999,45.3
358,9,24.96853,121.54413,44.9
359,6,24.96571,121.54089,45.1
360,0,24.95505,121.55964,24.7
361,10,24.983,121.54022,47.1
362,8,24.97345,121.54093,63.3
363,4,24.98872,121.53408,40
364,10,24.98182,121.54086,48
365,7,24.97913,121.53666,33.1
366,4,24.96182,121.51222,29.5
367,1,24.95153,121.55254,24.8
368,2,24.96464,121.51531,20.9
369,1,24.97544,121.53119,43.1
370,3,24.96322,121.51237,22.8
371,5,24.98203,121.54348,42.1
372,5,24.95591,121.53956,51.7
373,7,24.96628,121.54196,41.5
374,1,24.9748,121.53059,52.2
375,5,24.97937,121.54245,49.5
376,0,24.96165,121.55011,23.8
377,2,24.96447,121.51649,30.5
378,8,24.95836,121.53756,56.8
379,8,24.97077,121.54634,37.4
380,6,24.97744,121.54458,69.7
381,5,24.98203,121.54348,53.3
382,9,24.98298,121.53981,47.3
383,0,24.93207,121.51597,29.3
384,4,24.97845,121.53889,40.3
385,0,24.94297,121.50342,12.9
386,10,24.983,121.54026,46.6
387,0,24.9711,121.5317,55.3
388,3,24.96042,121.51462,25.6
389,4,24.95957,121.51353,27.3
390,8,24.96756,121.5423,67.7
391,9,24.97151,121.5435,38.6
392,1,24.95155,121.55387,31.3
393,6,24.97927,121.53874,35.3
394,4,24.98872,121.53408,40.3
395,1,24.95544,121.4963,24.7
396,4,24.974,121.53842,42.5
397,1,24.97198,121.55063,31.9
398,4,24.99156,121.53406,32.2
399,2,24.96447,121.51649,23
400,1,24.97371,121.52984,37.3
401,5,24.97433,121.53863,35.5
402,3,24.96305,121.51254,27.7
403,1,24.97388,121.52981,28.5
404,9,24.98353,121.53966,39.7
405,5,24.98203,121.54348,41.2
406,6,24.95663,121.53765,37.2
407,7,24.97293,121.54026,40.5
408,0,24.95505,121.55964,22.3
409,3,24.9633,121.51243,28.1
410,0,24.94155,121.50381,15.4
411,9,24.97433,121.5431,50
412,7,24.97923,121.53986,40.6
413,5,24.96674,121.54067,52.5
414,9,24.97433,121.5431,63.9
