No,X1_transaction_date,X2_house_age,X3_distance_to_MRT
240,2013.5,18.1,837.7233
241,2013.083,11,1712.632
242,2013.5,13.7,250.631
243,2012.833,2,2077.39
244,2013.417,32.8,204.1705
245,2013.083,4.8,1559.827
246,2013.417,7.5,639.6198
247,2013.417,16.4,389.8219
248,2013.333,21.7,1055.067
249,2013,19,1009.235
250,2012.833,18,6306.153
251,2013.167,39.2,424.7132
252,2012.917,31.7,1159.454
253,2012.833,5.9,90.45606
254,2012.667,30.4,1735.595
255,2012.667,1.1,329.9747
256,2013.417,31.5,5512.038
257,2012.667,14.6,339.2289
258,2013.25,17.3,444.1334
259,2013.417,0,292.9978
260,2013.083,17.7,837.7233
261,2013.25,17,1485.097
262,2013.167,16.2,2288.011
263,2012.917,15.9,289.3248
264,2013.417,3.9,2147.376
265,2013.167,32.6,493.657
266,2012.833,15.7,815.9314
267,2013.25,17.8,1783.18
268,2012.833,34.7,482.7581
269,2013.417,17.2,390.5684
270,2013,17.6,837.7233
271,2013.333,10.8,252.5822
272,2012.917,17.7,451.6419
273,2012.75,13,492.2313
274,2013.417,13.2,170.1289
275,2013.167,27.5,394.0173
276,2012.667,1.5,23.38284
277,2013,19.1,461.1016
278,2013.417,21.2,2185.128
279,2012.75,0,208.3905
280,2013.417,2.6,1554.25
281,2013.25,2.3,184.3302
282,2013.333,4.7,387.7721
283,2012.917,2,1455.798
284,2013.417,33.5,1978.671
285,2012.917,15,383.2805
286,2013.167,30.1,718.2937
287,2012.917,5.9,90.45606
288,2013,19.2,461.1016
289,2013.583,16.6,323.6912
290,2013.333,13.9,289.3248
291,2013.083,37.7,490.3446
292,2012.833,3.4,56.47425
293,2013.083,17.5,395.6747
294,2012.667,12.6,383.2805
295,2013.5,26.4,335.5273
296,2013.167,18.2,2179.59
297,2012.75,12.5,1144.436
298,2012.833,34.9,567.0349
299,2013.333,16.7,4082.015
300,2013.167,33.2,121.7262
301,2013.083,2.5,156.2442
302,2012.75,38,461.7848
303,2013.5,16.5,2288.011
304,2013.5,38.3,439.7105
305,2013.417,20,1626.083
306,2013.083,16.2,289.3248
307,2013.5,14.4,169.9803
308,2012.833,10.3,3079.89
309,2013.417,16.4,289.3248
310,2013.25,30.3,1264.73
311,2013.583,16.4,1643.499
312,2013.167,21.3,537.7971
313,2013.583,35.4,318.5292
314,2013.333,8.3,104.8101
315,2013.25,3.7,577.9615
316,2013.083,15.6,1756.411
317,2013.25,13.3,250.631
318,2012.75,15.6,752.7669
319,2013.333,7.1,379.5575
320,2013.25,34.6,272.6783
321,2012.75,13.5,4197.349
322,2012.917,16.9,964.7496
323,2013,12.9,187.4823
324,2013.417,28.6,197.1338
325,2012.667,12.4,1712.632
326,2013.083,36.6,488.8193
327,2013.5,4.1,56.47425
328,2013.417,3.5,757.3377
329,2012.833,15.9,1497.713
330,2013,13.6,4197.349
331,2013.083,32,1156.777
332,2013.333,25.6,4519.69
333,2013.167,39.8,617.7134
334,2012.75,7.8,104.8101
335,2012.917,30,1013.341
336,2013.583,27.3,337.6016
337,2012.833,5.1,1867.233
338,2012.833,31.3,600.8604
339,2012.917,31.5,258.186
340,2013.333,1.7,329.9747
341,2013.333,33.6,270.8895
342,2013,13,750.0704
343,2012.667,5.7,90.45606
344,2013,33.5,563.2854
345,2013.5,34.6,3085.17
346,2012.667,0,185.4296
347,2013.417,13.2,1712.632
348,2013.583,17.4,6488.021
349,2012.833,4.6,259.6607
350,2012.75,7.8,104.8101
351,2013,13.2,492.2313
352,2012.833,4,2180.245
353,2012.833,18.4,2674.961
354,2013.5,4.1,2147.376
355,2013.417,12.2,1360.139
356,2013.25,3.8,383.8624
357,2012.833,10.3,211.4473
358,2013.417,0,338.9679
359,2013.167,1.1,193.5845
360,2013.5,5.6,2408.993
361,2012.667,32.9,87.30222
362,2013.083,41.4,281.205
363,2013.417,17.1,967.4
364,2013.5,32.3,109.9455
365,2013.417,35.3,614.1394
366,2012.917,17.3,2261.432
367,2012.75,14.2,1801.544
368,2012.833,15,1828.319
369,2013.417,18.2,350.8515
370,2012.667,20.2,2185.128
371,2012.75,15.9,289.3248
372,2013.5,4.1,312.8963
373,2013,33.9,157.6052
374,2013.083,0,274.0144
375,2013.25,5.4,390.5684
376,2013.25,21.7,1157.988
377,2013.417,14.7,1717.193
378,2013.333,3.9,49.66105
379,2013.333,37.3,587.8877
380,2013.333,0,292.9978
381,2013.333,14.1,289.3248
382,2013.417,8,132.5469
383,2013,16.3,3529.564
384,2012.667,29.1,506.1144
385,2012.75,16.1,4066.587
386,2013,18.3,82.88643
387,2012.833,0,185.4296
388,2013.25,16.2,2103.555
389,2013.5,10.4,2251.938
390,2013.25,40.9,122.3619
391,2013.5,32.8,377.8302
392,2013.583,6.2,1939.749
393,2013.083,42.7,443.802
394,2013,16.9,967.4
395,2013.5,32.6,4136.271
396,2012.917,21.2,512.5487
397,2012.667,37.1,918.6357
398,2013.417,13.1,1164.838
399,2013.417,14.7,1717.193
400,2012.917,12.7,170.1289
401,2013.25,26.8,482.7581
402,2013.083,7.6,2175.03
403,2012.833,12.7,187.4823
404,2012.667,30.9,161.942
405,2013.333,16.4,289.3248
406,2012.667,23,130.9945
407,2013.167,1.9,372.1386
408,2013,5.2,2408.993
409,2013.417,18.5,2175.744
410,2013,13.7,4082.015
411,2012.667,5.6,90.45606
412,2013.25,18.8,390.9696
413,2013,8.1,104.8101
414,2013.5,6.5,90.45606
